Year,Age 1,Age 2,Employment Income,RRQ Income,PSV Income,RRPE Income,Other Income,Total Income,Housing Expenses,Transport Expenses,Daily Living Expenses,Recreation Expenses,Health Expenses,Family Expenses,Total Expenses,Federal Tax,Quebec Tax,Total Tax,After-Tax Income,Net Cash Flow,CELI Withdrawals,Cash Withdrawals,CRI Withdrawals,REER Withdrawals,Total Withdrawals,CELI Contributions,Cash Contributions,Total Contributions,Real Estate Balance,REER Balance,CELI Balance,CRI Balance,Cash Balance,Total Asset Returns,Net Worth (Start),Net Worth (End),Shortfall Amount
2025,58,58,"467,000",0,0,0,0,"467,000","200,000",0,0,0,0,0,"200,000","104,206","95,254","199,461","267,539","67,539",0,0,0,0,0,0,0,0,"2,346,000","1,146,624","33,600",0,0,"100,600","3,392,000","3,526,224",
2026,59,59,"476,340",0,0,0,0,"476,340","204,000",0,0,0,0,0,"204,000","107,055","97,659","204,714","271,626","67,626",0,0,0,0,0,0,0,0,"2,392,920","1,224,979","47,880",0,0,"105,931","3,526,224","3,665,779",
2027,60,60,"485,867",0,0,0,0,"485,867","208,080",0,0,0,0,0,"208,080","109,976","100,113","210,089","275,778","67,698",0,0,0,0,0,0,0,0,"2,440,778","1,307,252","62,874",0,0,"111,501","3,665,779","3,810,905",
2028,61,61,"318,362",0,0,"57,938",0,"376,301","212,242",0,0,0,0,0,"212,242","84,869","75,371","160,239","216,062","3,820",0,0,0,0,0,0,0,0,"2,489,594","1,393,639","78,618",0,0,"117,322","3,810,905","3,961,850",
2029,62,62,"324,730",0,0,"59,097",0,"383,827","216,486",0,0,0,0,0,"216,486","87,207","77,230","164,438","219,389","2,903",0,0,0,0,0,0,0,0,"2,539,386","1,484,345","95,149",0,0,"123,405","3,961,850","4,118,879",
2030,63,63,"331,224",0,0,"60,279",0,"391,503","220,816",0,0,0,0,0,"220,816","89,593","79,127","168,720","222,783","1,967",0,0,0,0,0,0,0,0,"2,590,174","1,579,586","112,506",0,0,"129,762","4,118,879","4,282,266",
2031,64,64,"337,849",0,0,"61,485",0,"399,333","225,232",0,0,0,0,0,"225,232","92,026","81,062","173,088","226,245","1,013",0,0,0,0,0,0,0,0,"2,641,977","1,679,589","130,731",0,0,"136,408","4,282,266","4,452,298",
2032,65,65,0,"32,000","17,000","53,164",0,"102,164","229,737",0,0,0,0,0,"229,737","9,175","9,573","18,748","83,416","-146,322","130,731",0,0,"15,590","146,322",0,0,0,"2,694,817","1,768,223","12,600",0,0,"136,039","4,452,298","4,475,639",
2033,66,66,0,"32,640","17,340","54,227",0,"104,207","234,332",0,0,0,0,0,"234,332","9,567","9,937","19,504","84,703","-149,629","12,600",0,0,"137,029","149,629",0,0,0,"2,748,713","1,733,778","12,600",0,0,"135,456","4,475,639","4,495,091",
2034,67,67,0,"33,293","17,687","55,311",0,"106,291","239,019",0,0,0,0,0,"239,019","9,967","10,308","20,274","86,017","-153,002","12,600",0,0,"140,402","153,002",0,0,0,"2,803,687","1,694,069","12,600",0,0,"134,643","4,495,091","4,510,356",
2035,68,68,0,"33,959","18,041","56,418",0,"108,417","243,799",0,0,0,0,0,"243,799","10,374","10,686","21,061","87,356","-156,443","12,600",0,0,"143,843","156,443",0,0,0,"2,859,761","1,648,761","12,600",0,0,"133,585","4,510,356","4,521,122",
2036,69,69,0,"34,638","18,401","57,546",0,"110,585","248,675",0,0,0,0,0,"248,675","10,790","11,072","21,862","88,723","-159,952","12,600",0,0,"147,352","159,952",0,0,0,"2,916,956","1,597,504","12,600",0,0,"132,266","4,521,122","4,527,060",
